number gen,min weight fraction leaf,bootstrap,max depth,criterion,max features,max leaf nodes,n estimators,fitness
1,0.0482682723676538,True,17,gini,auto,27,244,0.899468085106383
2,0.0482682723676538,True,17,gini,auto,27,244,0.899468085106383
3,0.0482682723676538,True,17,gini,auto,27,244,0.899468085106383
4,0.0482682723676538,True,17,gini,auto,27,244,0.899468085106383
5,0.0375510568481104,False,22,gini,sqrt,35,175,0.899645390070922
6,0.0,True,23,entropy,auto,35,300,0.899822695035461
7,0.0,True,23,entropy,auto,35,300,0.899822695035461
8,0.0121126330261628,True,17,entropy,auto,31,223,0.9081560283687944
9,0.0121126330261628,True,17,entropy,auto,31,223,0.9081560283687944
10,0.0121126330261628,True,17,entropy,auto,31,223,0.9081560283687944
