number gen,min weight fraction leaf,bootstrap,max depth,criterion,max features,max leaf nodes,n estimators,fitness
1,0.0209244587202254,False,11,gini,sqrt,32,298,0.6450582107843138
2,0.0209244587202254,False,11,gini,sqrt,32,298,0.6450582107843138
3,0.0209244587202254,False,11,gini,sqrt,32,298,0.6450582107843138
4,0.0,False,19,gini,log2,35,300,0.646623774509804
5,0.0,False,26,gini,sqrt,35,204,0.6559773284313726
6,0.0,False,26,gini,sqrt,35,204,0.6559773284313726
7,0.0,False,26,gini,sqrt,35,204,0.6559773284313726
8,0.0,False,26,gini,sqrt,35,204,0.6559773284313726
9,0.0,False,26,gini,sqrt,35,204,0.6559773284313726
10,0.0,False,26,gini,sqrt,35,204,0.6559773284313726
