number gen,min weight fraction leaf,bootstrap,max depth,criterion,max features,max leaf nodes,n estimators,fitness
1,0.0038944020650891,True,28,entropy,auto,30,269,0.86105
2,0.0,True,24,gini,auto,35,247,0.8743666666666666
3,0.0,True,24,gini,auto,35,247,0.8743666666666666
4,0.0,False,8,gini,log2,35,218,0.8753666666666666
5,0.0,False,21,gini,log2,35,300,0.8772166666666668
6,0.0,False,21,gini,log2,35,300,0.8772166666666668
7,0.0,False,20,gini,log2,35,259,0.8776333333333334
8,0.0,False,20,gini,log2,35,259,0.8776333333333334
9,0.0,True,20,gini,log2,35,271,0.8781666666666667
10,0.0,True,20,gini,log2,35,271,0.8781666666666667
