number gen,min weight fraction leaf,bootstrap,max depth,criterion,max features,max leaf nodes,n estimators,fitness
1,0.0005059223909898,True,19,gini,sqrt,26,145,0.5022048476673411
2,0.0,True,20,gini,auto,35,231,0.5239144372559305
3,0.0,True,15,gini,log2,35,240,0.5292206596224781
4,0.0,False,27,gini,auto,35,126,0.5377918883587707
5,0.0,True,14,entropy,log2,35,235,0.5381989192249728
6,0.0,False,30,entropy,log2,35,226,0.5390123481461128
7,0.0,False,30,entropy,log2,35,226,0.5390123481461128
8,0.0,False,30,entropy,log2,35,226,0.5390123481461128
9,0.0,False,30,entropy,log2,35,226,0.5390123481461128
10,0.0,True,30,entropy,log2,35,235,0.5398302733578131
